,poem name,content,type
311,"Amoretti VIII: More then most faire, full of the living fire","More then most faire, full of the living fire,
Kindled above unto the maker neere:
No eies but joyes, in which al powers conspire,
That to the world naught else be counted deare.
Thrugh your bright beams doth not the blinded guest
Shoot out his darts to base affections wound?
But Angels come to lead fraile mindes to rest
In chast desires on heavenly beauty bound.
You frame my thoughts and fashion me within,
You stop my toung, and teach my hart to speake,
You calme the storme that passion did begin,
Strong thrugh your cause, but by your vertue weak.
Dark is the world, where your light shined never;
Well is he borne, that may behold you ever.",Love
312,Amoretti LXXXIX: Lyke as the Culver on the bared bough,"Lyke as the Culver on the bared bough,
Sits mourning for the absence of her mate:
And in her songs sends many a wishfull vow,
For his returne that seemes to linger late,
So I alone now left disconsolate,
Mourne to my selfe the absence of my love:
And wandring here and there all desolate,
Seek with my playnts to match that mournful dove:
Ne joy of ought that under heaven doth hove,
Can comfort me, but her owne joyous sight:
Whose sweet aspect both God and man can move,
In her unspotted pleasauns to delight.
Dark is my day, whyles her fayre light I mis,
And dead my life that wants such lively blis.",Love
313,"Amoretti LXXXI: Fayre is my love, when her fayre golden heares","Fayre is my love, when her fayre golden heares,
With the loose wynd ye waving chance to marke:
Fayre when the rose in her red cheekes appears,
Or in her eyes the fyre of love does sparke.
Fayre when her brest lyke a rich laden barke,
With pretious merchandize she forth doth lay:
Fayre when that cloud of pryde which oft doth dark
Her goodly light with smiles she drives away,
But fayrest she, when so she doth display
The gate with pearles and rubyes richly dight:
Throgh which her words so wise do make their way
To beare the message of her gentle spright.
The rest be works of natures wonderment,
But this the worke of harts astonishment.",Love
314,Amoretti LXXI: I joy to see how in your drawen work,"I joy to see how in your drawen work,
Your selfe unto the Bee ye doe compare;
And me unto the Spyder that doth lurke,
In close awayt to catch her unaware.
Right so your selfe were caught in cunning snare
Of a deare for, and thralled to his love:
In whose streight bands ye now captived are
So firmely, that ye never may remove.
But as your whole worke is woven all about,
With woodbynd flowers and fragrant Enlantine:
So sweet your prison you in time shall prove,
With many deare delights bedecked fyne,
And all thensforth eternall peace shall see
Betweene the Spyder and the gentle Bee.",Love
315,Amoretti LXX: Fresh spring the herald of loves mighty king,"Fresh spring the herald of loves mighty king,
In whose cote armour richly are displayed
All sorts of flowers the which on earth do spring
In goodly colours gloriously arrayd:
Goe to my love, where she is carelesse layd,
Yet in her winters bowre not well awake:
Tell her the joyous time wil not be staid
Unless she doe him by the forelock take.
Bid her therefore her selfe soone ready make,
To wayt on love amongst his lovely crew:
Where every one that misseth then her make,
Shall be by him amearst with penance dew.
Make hast therefore sweet love, whilest it is prime,
For none can call againe the passed time.",Love
316,"Amoretti LXVI: ""To all those happy blessings which ye have""","To all those happy blessings which ye have,
With plenteous hand by heaven upon you thrown:
This one disparagement they to you gave,
That ye your love lent to so meane a one.
Yee whose high worths surpassing paragon,
Could not on earth have found one fit for mate,
Ne but in heaven matchable to none,
Why did ye stoup unto so lowly state.
But ye thereby much greater glory gate,
Then had ye sorted with a princes pere:
For now your light doth more it selfe dilate,
And in my darknesse greater doth appeare.
Yet since your light hath once enlumind me,
With my reflex yours shall encreased be.",Love
317,"Amoretti LXII: ""The weary yeare his race now having run""","The weary yeare his race now having run,
The new begins his compast course anew:
With shew of morning mylde he hath begun,
Betokening peace and plenty to ensew.
So let us, which this chaunge of weather vew,
Chaunge eeke our mynds and former lives amend,
The old yeares sinnes forepast let us eschew,
And fly the faults with which we did offend.
Then shall the new yeares joy forth freshly send,
Into the glooming world his gladsome ray:
And all these stormes which now his beauty blend,
Shall turne to caulmes and tymely cleare away.
So likewise love cheare you your heavy spright,
And chaunge old yeares annoy to new delight.",Love
318,Amoretti LV: So oft as I her beauty do behold,"So oft as I her beauty do behold,
And therewith do her cruelty compare,
I marvel of what substance was the mould
The which her made at once so cruel-fair.
Not earth; for her high thoughts more heavenly are:
Not water; for her love doth burn like fire:
Not air; for she is not so light or rare:
Not fire; for she doth freeze with faint desire.

Then needs another element inquire
Whereof she might be made; that is, the sky.
For to the heaven her haughty looks aspire,
And eke her love is pure immortal high.
Then since to heaven ye likened are the best,
Be like in mercy as in all the rest.",Love
319,Amoretti LIV: Of this worlds Theatre in which we stay,"Of this worlds Theatre in which we stay,
My love lyke the Spectator ydly sits
Beholding me that all the pageants play,
Disguysing diversly my troubled wits.
Sometimes I joy when glad occasion fits,
And mask in myrth lyke to a Comedy:
Soone after when my joy to sorrow flits,
I waile and make my woes a Tragedy.
Yet she beholding me with constant eye,
Delights not in my merth nor rues my smart:
But when I laugh she mocks, and when I cry
She laughes, and hardens evermore her hart.
What then can move her? if not merth nor mone,
She is no woman, but a sencelesse stone.",Love
320,"Amoretti IV: ""New yeare forth looking out of Janus gate""","New yeare forth looking out of Janus gate,
Doth seeme to promise hope of new delight:
And bidding thold Adieu, his pass",Love
321,Amoretti I: Happy ye leaves when as those lilly hands,"Happy ye leaves when as those lilly hands,
Which hold my life in their dead doing might
Shall handle you and hold in loves soft bands,
Lyke captives trembling at the victors sight.
And happy lines, on which with starry light,
Those lamping eyes will deigne sometimes to look
And reade the sorrowes of my dying spright,
Written with teares in harts close bleeding book.
And happy rymes bathd in the sacred brooke,
Of Helicon whence she derived is,
When ye behold that Angels blessed looke,
My soules long lacked foode, my heavens blis.
Leaves, lines, and rymes, seeke her to please alone,
Whom if ye please, I care for other none. 


 ",Love
322,"""Alas, so all things now do hold their peace!""","Alas, so all things now do hold their peace!
   Heaven and earth disturbed in no thing;
The beasts, the air, the birds their song do cease,
   The nightes car the stars about doth bring;
Calm is the sea; the waves work less and less:
   So am not I, whom love, alas! doth wring,
Bringing before my face the great increase
   Of my desires, whereat I weep and sing,
In joy and woe, as in a doubtful case.
   For my sweet thoughts sometime do pleasure bring:
But by and by, the cause of my disease
   Gives me a pang that inwardly doth sting,
When that I think what grief it is again
To live and lack the thing should rid my pain.   ",Love
323,The Aged Lover Renounceth Love,"I loathe that I did love,
In youth that I thought sweet,
As time requires for my behove,
Methinks they are not meet.

My lusts they do me leave,
My fancies all be fled,
And tract of time begins to weave
Grey hairs upon my head,

For age with stealing steps
Hath clawed me with his crutch,
And lusty life away she leaps
As there had been none such.

My Muse doth not delight
Me as she did before;
My hand and pen are not in plight,
As they have been of yore.

For reason me denies
This youthly idle rhyme;
And day by day to me she cries,
Leave off these toys in time.

The wrinkles in my brow,
The furrows in my face,
Say, limping age will lodge him now
Where youth must give him place.

The harbinger of death,
To me I see him ride,
The cough, the cold, the gasping breath
Doth bid me provide

A pickaxe and a spade,
And eke a shrouding sheet,
A house of clay for to be made
For such a guest most meet.

Methinks I hear the clark
That knolls the careful knell,
And bids me leave my woeful wark,
Ere nature me compel.

My keepers knit the knot
That youth did laugh to scorn,
Of me that clean shall be forgot
As I had not been born.

Thus must I youth give up,
Whose badge I long did wear;
To them I yield the wanton cup
That better may it bear.

Lo, here the bared skull,
By whose bald sign I know
That stooping age away shall pull
Which youthful years did sow.

For beauty with her band
These crooked cares hath wrought,
And shipped me into the land
From whence I first was brought.

And ye that bide behind,
Have ye none other trust:
As ye of clay were cast by kind,
So shall ye waste to dust.",Love
324,Remembrance,"They flee from me, that sometime did me seek
    With naked foot, stalking in my chamber.
I have seen them gentle, tame, and meek,
    That now are wild, and do not remember
    That sometime they put themselves in danger
         To take bread at my hand; and now they range
         Busily seeking with a continual change.

Thanked be fortune it hath been otherwise
    Twenty times better; but once, in special,
In thin array, after a pleasant guise,
    When her loose gown from her shoulders did fall,
    And she me caught in her arms long and small;
         Therewith all sweetly did me kiss,
         And softly said, Dear heart, how like you this?

It was no dream: I lay broad waking:
    But all is turned, thorough my gentleness,
Into a strange fashion of forsaking;
    And I have leave to go of her goodness,
    And she also to use newfangleness.
         But since that I so kindly am served,
         I would fain know what she hath deserved.",Love
325,from Pamphilia to Amphilanthus: 7,"Love leave to urge, thou knowst thou hast the hand;
    Tis cowardise, to strive wher none resist:
    Pray thee leave off, I yeeld unto thy band;
    Doe nott thus, still, in thine owne powre persist,

Beehold I yeeld: lett forces bee dismist;
    I ame thy subject, conquerd, bound to stand,
    Never thy foe, butt did thy claime assist
    Seeking thy due of those who did withstand;

Butt now, itt seemes, thou wouldst I should thee love;
    I doe confess, twas thy will made mee chuse;
    And thy faire showes made mee a lover prove
    When I my freedome did, for paine refuse.

Yett this Sir God, your boyship I dispise;
Your charmes I obay, butt love nott want of eyes.",Love
326,from Pamphilia to Amphilanthus: 4,"When I beeheld the Image of my deere
    With greedy lookes mine eyes would that way bend,
    Fear, and desire did inwardly contend;
    Feare to bee markd, desire to drawe still neere,

And in my soule a speritt wowld apeer,
    Which boldnes waranted, and did pretend
    To bee my genius, yett I durst nott lend
    My eyes in trust wher others seemed soe cleere,

Then did I search from whence this danger rose,
    If such unworthynes in mee did rest
    As my stervd eyes must nott with sight bee blest;
    When jealousie her poyson did disclose;

Yett in my hart unseense of jealous eye
The truer Image shall in triumph lye.",Love
327,Sonnet 125: Weret aught to me I bore the canopy,"Weret aught to me I bore the canopy,
With my extern the outward honouring,
Or laid great bases for eternity,
Which proves more short than waste or ruining;
Have I not seen dwellers on form and favour
Lose all, and more, by paying too much rent,
For compound sweet forgoing simple savour,
Pitiful thrivers, in their gazing spent?
No;let me be obsequious in thy heart,
And take thou my oblation, poor but free,
Which is not mixd with seconds, knows no art,
But mutual render, only me for thee.
   Hence, thou subornd informer! a true soul,
   When most impeachd, stands least in thy control. 
 ",Love
328,The Lullaby of a Lover,"     Sing lullaby, as women do,
Wherewith they bring their babes to rest,
And lullaby can I sing too
As womanly as can the best.
With lullaby they still the child,
And if I be not much beguiled,
Full many wanton babes have I
Which must be stilled with lullaby.

     First lullaby my youthful years;
It is now time to go to bed,
For crooked age and hoary hairs
Have won the haven within my head.
With lullaby, then, youth be still;
With lullaby content thy will;
Since courage quails and comes behind,
Go sleep, and so beguile thy mind.

     Next, lullaby my gazing eyes,
Which wonted were to glance apace.
For every glass may now suffice
To show the furrows in my face;
With lullaby then wink awhile,
With lullaby your looks beguile;
Let no fair face nor beauty bright
Entice you eft with vain delight.

     And lullaby, my wanton will;
Let reason's rule now reign thy thought,
Since all too late I find by skill
How dear I have thy fancies bought;
With lullaby now take thine ease,
With lullaby thy doubts appease.
For trust to this: if thou be still,
My body shall obey thy will.

     Eke lullaby, my loving boy,
My little Robin, take thy rest;
Since age is cold and nothing coy,
Keep close thy coin, for so is best;
With lullaby be thou content,
With lullaby thy lusts relent,
Let others pay which hath mo pence;
Thou art too poor for such expense.

     Thus lullaby, my youth, mine eyes,
My will, my ware, and all that was.
I can no mo delays devise,
But welcome pain, let pleasure pass;
With lullaby now take your leave,
With lullaby your dreams deceive;
And when you rise with waking eye,
Remember then this lullaby.",Love
329,Sonnet 133: Beshrew that heart that makes my heart to groan,"Beshrew that heart that makes my heart to groan
For that deep wound it gives my friend and me:
Ist not enough to torture me alone,
But slave to slavery my sweetst friend must be?
Me from myself thy cruel eye hath taken,
And my next self thou harder hast engrossed;
Of him, myself, and thee I am forsaken,
A torment thrice threefold thus to be crossed.
Prison my heart in thy steel bosom's ward,
But then my friend's heart let my poor heart bail;
Whoeer keeps me, let my heart be his guard:
Thou canst not then use rigour in my jail.
    And yet thou wilt; for I, being pent in thee,
    Perforce am thine, and all that is in me.",Love
330,"Sonnet 139: O, call not me to justify the wrong","O, call not me to justify the wrong
That thy unkindness lays upon my heart;
Wound me not with thine eye but with thy tongue;
Use power with power, and slay me not by art.
Tell me thou lovst elsewhere; but in my sight,
Dear heart, forbear to glance thine eye aside;
What needst thou wound with cunning when thy might
Is more than my oerpressed defense can bide?
Let me excuse thee: ah, my love well knows
Her pretty looks have been mine enemies;
And therefore from my face she turns my foes,
That they elsewhere might dart their injuries
    Yet do not so; but since I am near slain,
    Kill me outright with looks and rid my pain.",Love
331,"Sonnet 142: Love is my sin, and thy dear virtue hate","Love is my sin, and thy dear virtue hate,
Hate of my sin, grounded on sinful loving.
O, but with mine compare thou thine own state,
And thou shalt find it merits not reproving;
Or if it do, not from those lips of thine,
That have profaned their scarlet ornaments
And sealed false bonds of love as oft as mine,
Robbed others beds revenues of their rents.
Be it lawful I love thee as thou lovst those
Whom thine eyes woo as mine importune thee:
Root pity in thy heart, that, when it grows,
Thy pity may deserve to pitied be.
    If thou dost seek to have what thou dost hide,
    By self-example mayst thou be denied.",Love
332,"Sonnet 147: My love is as a fever, longing still","My love is as a fever, longing still
For that which longer nurseth the disease,
Feeding on that which doth preserve the ill,
Th uncertain sickly appetite to please.
My reason, the physician to my love,
Angry that his prescriptions are not kept,
Hath left me, and I desperate now approve
Desire is death, which physic did except.
Past cure I am, now reason is past care,
And frantic-mad with evermore unrest;
My thoughts and my discourse as madmens are,
At random from the truth vainly expressed:
    For I have sworn thee fair, and thought thee bright,
    Who art as black as hell, as dark as night.",Love
333,Amoretti XV: Ye tradefull Merchants that with weary toyle,"Ye tradefull Merchants that with weary toyle,
Do seeke most pretious things to make your gain:
And both the Indias of their treasures spoile,
What needeth you to seeke so farre in vaine?
For loe my love doth in her selfe containe
All this worlds riches that may farre be found,
If Saphyres, loe hir eies be Saphyres plaine,
If Rubies, loe hir lips be Rubies sound:
If Pearles, hir teeth be pearles both pure and round;
If Yvorie, her forhead yvory weene;
If Gold, her locks are finest gold on ground;
If silver, her faire hands are silver sheene;
But that which fairest is, but few behold,
Her mind adornd with vertues manifold.",Love
334,The Duchess to Her Readers,"A Poet am I neither born nor bred,
But to a witty poet married:
Whose brain is fresh and pleasant as the Spring,
Where Fancies grow and where the Muses sing.
There oft I lean my head, and listening, hark,
To catch his words and all his fancies mark:
And from that garden show of beauties take
Whereof a posy I in verse may make.
Thus I, that have no gardens of my own,
There gather flowers that are newly blown.",Love
335,"Book 5, Epigram 20: In Misum & Mopsam.","Misus and Mopsa hardly could agree,
Striving about superiority.
The text which says that man and wife are one,
Was the chief argument they stood upon. 
She held they both one woman should become,
He held both should be man, and both but one.
     So they contended daily, but the strife
     Could not be ended, till both were one wife.",Love
336,"['Joy of my life, full oft for loving you']","Joy of my life, full oft for loving you
    I bless my lot, that was so lucky placed:
    But then the more your own mishap I rue,
    That are so much by so mean love embased.
For had the equal heavens so much you graced
    In this as in the rest, ye might invent
    Some heavenly wit, whose verse could have enchased
    Your glorious name in golden monument.
But since ye deignd so goodly to relent
    To me your thrall, in whom is little worth,
    That little that I am shall all be spent
    In setting your immortal praises forth;
Whose lofty argument uplifting me
    Shall lift you up unto an high degree.",Love
337,from Pamphilia to Amphilanthus: 17,"Sweet shades why doe you seeke to give delight
    To mee who deeme delight in this vilde place
    Butt torment, sorrow, and mine owne disgrace
    To taste of joy, or your vaine pleasing sight;

Show them your pleasures who saw never night
    Of greife, wher joyings fauning, smiling face
    Appeers as day, wher griefe found never space
    Yett for a sigh, a grone, or envies spite;

Butt O on mee a world of woes doe ly,
    Or els on mee all harmes strive to rely,
    And to attend like servants bound to mee,

Heat in desire, while frosts of care I prove,
    Wanting my love, yett surfett doe with love
    Burne, and yett freeze, better in hell to bee.",Love
338,from Pamphilia to Amphilanthus: 2,"Love like a jugler, comes to play his prise,
    And all minds draw his wonders to admire,
    To see how cuningly hee, wanting eyes,
    Can yett deseave the best sight of desire:

 The wanton child, how hee can faine his fire
    So pretely, as none sees his disguise!
    How finely doe his tricks, while wee fooles hire
    The badge, and office of his tirannies,

For in the end, such jugling hee doth make
    As hee our harts, in stead of eyes doth take
    For men can only by theyr slieghts abuse

The sight with nimble, and delightful skill;
    Butt if hee play, his gaine is our lost will:
    Yett childlike, wee can nott his sports refuse.",Love
339,from Pamphilia to Amphilanthus: Song 5,"Time only cause of my unrest
By whom I hopd once to bee blest
    How cruell art thou turned?
That first gavst lyfe unto my love,
And still a pleasure nott to move
    Or change though ever burned;

Have I thee slackd, or left undun
One loving rite, and soe have wunn
    Thy rage or bitter changing?
That now noe minutes I shall see,
Wherein I may least happy bee
    Thy favors soe estranging.

Blame thy self, and nott my folly,
Time gave time butt to bee holly;
    True love such ends best loveth
Unworhty love doth seeke for ends
A worthy love butt worth pretends
    Nor other thoughts itt proveth:

Then stay thy swiftnes cruell time,
And lett mee once more blessed clime
    To joy, that I may prayse thee:
Lett mee pleasure sweetly tasting
Joy in love, and faith nott wasting
    And on fames wings Ile rayse thee:

Never shall thy glory dying
Bee untill thine owne untying
    That time noe longer liveth;
Tis a gaine such tyme to lend:
Since soe thy fame shall never end
    Butt joy for what she giveth.",Love
340,"from The Countesse of Montgomerys Urania: Love peruse me, seeke, and finde","Love peruse me, seeke, and finde
How each corner of my minde
            Is a twine
            Woven to shine.
Not a Webb ill made, foule framd,
Bastard not by Father namd,
            Such in me
            Cannot bee.
Deare behold me, you shall see
Faith the Hive, and love the Bee,
            Which doe bring.
            Gaine and sting.
Pray desect me, sinewes, vaines,
Hold, and loves life in those gaines;
            Lying bare
            To despaire,
When you thus anotamise
All my body, my heart prise;
            Being true
            Just to you.
Close the Truncke, embalme the Chest,
Where your power still shall rest,
            Joy entombe,
            Loves just doome.",Love
341,Sonnet 1,"Loving in truth, and fain in verse my love to show,
That she, dear she, might take some pleasure of my pain,
Pleasure might cause her read, reading might make her know,
Knowledge might pity win, and pity grace obtain,
I sought fit words to paint the blackest face of woe,
Studying inventions fine, her wits to entertain,
Oft turning others leaves, to see if thence would flow
Some fresh and fruitful showers upon my sunburned brain.
But words came halting forth, wanting Inventions stay:
Invention, Natures child, fled step-dame Studys blows,
And others feet still seemed but strangers in my way.
Thus great with child to speak, and helpless in my throes,
Biting my truant pen, beating myself for spite:
Fool, said my Muse to me, look in thy heart and write.",Love
342,Amoretti XXIII: Penelope for her Ulisses sake,"Penelope for her Ulisses sake,
Devizd a Web her wooers to deceave:
In which the worke that she all day did make
The same at night she did again unreave:
Such subtile craft my Damzell doth conceave,
Th importune suit of my desire to shnone:
For all that I in many dayes doo weave,
In one short houre I find by her undonne.
So when I thinke to end that I begonne,
I must begin and never bring to end:
For with one looke she spils that long I sponne,
And with one word my whole years work doth rend.
Such labour like the Spyders web I fynd,
Whose fruitless worke is broken with least wynd.",Love
343,"Amoretti XXX: My Love is like to ice, and I to fire","My Love is like to ice, and I to fire:
How comes it then that this her cold so great
Is not dissolved through my so hot desire,
But harder grows the more I her entreat?
Or how comes it that my exceeding heat
Is not allayed by her heart-frozen cold,
But that I burn much more in boiling sweat,
And feel my flames augmented manifold?
What more miraculous thing may be told,
That fire, which all things melts, should harden ice,
And ice, which is congeald with senseless cold,
Should kindle fire by wonderful device?
Such is the power of love in gentle mind,
That it can alter all the course of kind.",Love
344,An Elegy,"Though beauty be the mark of praise,
   And yours of whom I sing be such
   As not the world can praise too much,
Yet tis your virtue now I raise.

A virtue, like allay, so gone
   Throughout your form, as, though that move
   And draw and conquer all mens love,
This subjects you to love of one.

Wherein you triumph yet; because
   Tis of yourself, and that you use
   The noblest freedom, not to choose
Against or faith or honors laws.

But who should less expect from you,
   In whom alone Love lives again?
   By whom he is restored to men,
And kept, and bred, and brought up true.

His falling temples you have reared,
   The withered garlands taen away;
   His altars kept from the decay
That envy wished, and nature feared;

And on them burn so chaste a flame,
   With so much loyalties expense,
   As Love, t acquit such excellence,
Is gone himself into your name.

And you are he; the deity
   To whom all lovers are designed
   That would their better objects find;
Among which faithful troop am I.

Who, as an offspring at your shrine,
   Have sung this hymn, and here entreat
   One spark of your diviner heat
To light upon a love of mine.

Which, if it kindle not, but scant
   Appear, and that to shortest view,
   Yet give me leave t adore in you
What I in her am grieved to want.",Love
345,"Astrophil and Stella 72: Desire, though thou my old companion art","Desire, though thou my old companion art,
And oft so clings to my pure Love that I
One from the other scarcely can descry,
While each doth blow the fire of my heart,
Now from thy fellowship I needs must part;
Venus is taught with Dians wings to fly;
I must no more in thy sweet passions lie;
Virtues gold now must head my Cupids dart.
Service and honor, wonder with delight,
Fear to offend, will worthy to appear,
Care shining in mine eyes, faith in my sprite:
These things are let me by my only dear;
But thou, Desire, because thou wouldst have all,
Now banished art. But yet alas how shall?",Love
346,"Astrophil and Stella 90: Stella, think not that I by verse seek fame","Stella, think not that I by verse seek fame,
Who seek, who hope, who love, who live but thee;
Thine eyes my pride, thy lips my history;
If thou praise not, all other praise is shame.
Nor so ambitious am I, as to frame
A nest for my young praise in laurel tree:
In truth I sweare, I wish not there should be
Graved in mine epitaph a Poets name:
Nay if I would, could I just title make,
That any laud to me thereof should grow,
Without my plumes from others wings I take.
For nothing from my wit or will doth flow,
Since all my words thy beauty doth endite,
And love doth hold my hand, and makes me write.",Love
347,Bridal Song,"O come, soft rest of cares! come, Night!
       Come, naked Virtues only tire,
The reaped harvest of the light
    Bound up in sheaves of sacred fire,
       Love calls to war:
             Sighs his alarms,
       Lips his swords are,
             The fields his arms.

Come, Night, and lay thy velvet hand
    On glorious Days outfacing face;
And all thy crowned flames command
    For torches to our nuptial grace.
       Love calls to war:
             Sighs his alarms,
       Lips his swords are,
             The field his arms.",Love
348,Cherry-Ripe,"There is a garden in her face
   Where roses and white lilies blow;
A heavenly paradise is that place,
   Wherein all pleasant fruits do flow:
      There cherries grow which none may buy
      Till Cherry-ripe themselves do cry.

Those cherries fairly do enclose
   Of orient pearl a double row,
Which when her lovely laughter shows,
   They look like rose-buds filled with snow;
      Yet them no peer nor prince can buy
      Till Cherry-ripe themselves do cry.

Her eyes like angels watch them still;
   Her brows like bended bows do stand,
Threat'ning with piercing frowns to kill
   All that attempt with eye or hand
      Those sacred cherries to come nigh,
      Till Cherry-ripe themselves do cry.",Love
349,"A Communication Which the Author Had to London, Before She Made Her Will","The time is come, I must depart
   from thee, ah famous city;
I never yet to rue my smart,
   did find that thou hadst pity.
Wherefore small cause there is, that I
   should grieve from thee to go;
But many women foolishly,
   like me, and other moe,
Do such a fixed fancy set,
   on those which least deserve,
That long it is ere wit we get   
   away from them to swerve.
But time with pity oft will tell   
   to those that will her try,
Whether it best be more to mell,
   or utterly defy.
And now hath time me put in mind
   of thy great cruelness,
That never once a help would find,
   to ease me in distress.
Thou never yet wouldst credit give
   to board me for a year;
Nor with apparel me relieve,
   except thou payed were.
No, no, thou never didst me good,
   nor ever wilt, I know.
Yet am I in no angry mood,
   but will, or ere I go,
In perfect love and charity,
   my testament here write,
And leave to thee such treasury,
   as I in it recite.
Now stand aside and give me leave
      to write my latest will;
And see that none you do deceive
   of that I leave them till.",Love
350,Complaint of the Absence of Her Love Being Upon the Sea,"O happy dames, that may embrace
The fruit of your delight,
Help to bewail the woeful case
And eke the heavy plight
Of me, that wonted to rejoice
The fortune of my pleasant choice;
Good ladies, help to fill my mourning voice.

In ship, freight with remembrance
Of thoughts and pleasures past,
He sails that hath in governance
My life while it will last;
With scalding sighs, for lack of gale,
Furthering his hope, that is his sail,
Toward me, the sweet port of his avail.

Alas! how oft in dreams I see
Those eyes that were my food;
Which sometime so delighted me,
That yet they do me good;
Wherewith I wake with his return,
Whose absent flame did make me burn:
But when I find the lack, Lord, how I mourn!

When other lovers in arms across
Rejoice their chief delight.
Drowned in tears, to mourn my loss
I stand the bitter night
In my window, where I may see
Before the winds how the clouds flee.
Lo! what a mariner love hath made of me!

And in green waves when the salt flood
Doth rise by rage of wind,
A thousand fancies in that mood
Assail my restless mind.
Alas! now drencheth my sweet foe,
That with the spoil of my heart did go,
And left me; but, alas! why did he so?

And when the seas wax calm again
To chase fro me annoy,
My doubtful hope doth cause me pain;
So dread cuts off my joy.
Thus is my wealth mingled with woe,
And of each thought a doubt doth grow;
Now he comes! Will he come? Alas, no, no!
 ",Love
351,"Astrophil and Stella 63: O Grammar rules, O now your virtues show","O Grammar rules, O now your virtues show;
    So children still read you with awful eyes,
    As my young Dove may in your precepts wise
Her grant to me, by her own virtue know.
For late with heart most high, with eyes most low,
    I cravd the thing which ever she denies:
    She lightning Love, displaying Venus skies,
Least once should not be heard, twice said, No, No.
    Sing then my Muse, now Io Pan sing,
    Heavns envy not at my high triumphing:
But Grammars force with sweet success confirm,
    For Grammar says (O this dear Stella weigh,)
    For Grammar says (to Grammar who says nay)
That in one speech two Negatives affirm.",Love
352,Delia 1: Unto the boundless Ocean of thy beauty,"Unto the boundless Ocean of thy beauty
Runs this poor river, charged with streams of zeal:
Returning thee the tribute of my duty,
Which here my love, my youth, my plaints reveal.
Here I unclasp the book of my charged soul,
Where I have cast th'accounts of all my care:
Here have I summed my sighs, here I enroll
How they were spent for thee; look what they are.
Look on the dear expenses of my youth,
And see how just I reckon with thine eyes:
Examine well thy beauty with my truth,
And cross my cares ere greater sum arise.
Read it sweet maid, though it be done but slightly;
Who can show all his love, doth love but lightly.",Love
353,Delia 32: But love whilst that thou mayst be loved again,"But love whilst that thou mayst be loved again,
Now whilst thy May hath filed thy lap with flowers,
Now whilst thy beauty bears without a stain,
Now use the summer smiles, ere winter lowers.
And whilst thou spreadst unto the rising sun
The fairest flower that ever saw the light,
Now joy thy time before thy sweet be done,
And, Delia, think thy morning must have night,
And that thy brightness sets at length to west,
When thou wilt close up that which now thou shewst;
And think the same becomes they fading best
Which then shall most inveil and shadow most.
Men do not weigh the stalk for what it was,
When once they find her flower, her glory, pass.",Love
354,Delia 36: But love whilst that thou mayst be loved again,"But love whilst that thou mayst be loved again,
Now whilst thy May hath filled thy lap with flowers,
Now whilst thy beauty bears without a stain,
Now use the summer smiles, ere winter lowers.
And whilst thou spreadst unto the rising sun
The fairest flower that ever saw the light,
Now joy thy time before thy sweet be done,
And, Delia, think thy morning must have night,
And that thy brightness sets at length to west,
When thou wilt close up that which now thou shewst;
And think the same becomes thy fading best
Which then shall most inveil and shadow most.
Men do not weigh the stalk for what it was,
When once they find her flower, her glory, pass.",Love
355,"Delia 37: When men shall find thy flower, thy glory pass","When men shall find thy flower, thy glory pass,
And thou, with careful brow sitting alone,
Received hast this message from thy glass,
That tells thee truth, and says that all is gone,
Fresh shalt thou see in me the wounds thou madest,
Though spent thy flame, in me the heat remaining,
I that have loved thee thus before thou fadest,
My faith shall wax, when thou art in thy waning.
The world shall find this miracle in me,
That fire can burn when all the matters spent;
Then what my faith hath been thyself shall see,
And that thou wast unkind thou mayst repent.
Thou mayst repent that thou hast scorned my tears,
When Winter snows upon thy golden hairs.",Love
356,Delia 53: Unhappy pen and ill accepted papers,"Unhappy pen and ill accepted papers,
That intimate in vain my chaste desires,
My chaste desires, the ever burning tapers,
Enkindled by her eyes celestial fires.
Celestial fires and unrespecting powers,
That deign not view the glory of your might,
In humble lines the work of careful hours,
The sacrifice I offer to her sight.
But since she scorns her own, this rests for me,
Ill moan my self, and hide the wrong I have:
And so content me that her frowns should be
To my infant style the cradle, and the grave.
What though my self no honor get thereby,
Each bird sings therself, and so will I.",Love
357,A Description of Such a One As He Would Love,"A face that should content me wondrous well
Should not be fair but lovely to behold,
With gladsome cheer all grief for to expel;
With sober looks so would I that it should
Speak without words such words as none can tell;
Her tress also should be of crisped gold;
With wit; and thus might chance I might be tied,
And knit again the knot that should not slide.",Love
358,"Elegies, Book One, 5","In summers heat and mid-time of the day
To rest my limbs upon a bed I lay,
One window shut, the other open stood,
Which gave such light as twinkles in a wood,
Like twilight glimpse at setting of the sun
Or night being past, and yet not day begun.
Such light to shamefaced maidens must be shown,
Where they may sport, and seem to be unknown.
Then came Corinna in a long loose gown,
Her white neck hid with tresses hanging down:
Resembling fair Semiramis going to bed
Or Lais of a thousand wooers sped.
I snatched her gown, being thin, the harm was small,
Yet strived she to be covered therewithal.
And striving thus as one that would be cast,
Betrayed herself, and yielded at the last.
Stark naked as she stood before mine eye,
Not one wen in her body could I spy.

What arms and shoulders did I touch and see,
How apt her breasts were to be pressed by me?
How smooth a belly under her waist saw I?
How large a leg, and what a lusty thigh?
To leave the rest, all liked me passing well,
I clinged her naked body, down she fell,
Judge you the rest: being tired she bad me kiss,
Jove send me more such afternoons as this.",Love
